michelin_6,tripadvisor_22475,TRUE
michelin_20,tripadvisor_69931,TRUE
michelin_25,tripadvisor_22476,TRUE
michelin_41,tripadvisor_69932,TRUE
michelin_47,tripadvisor_22477,TRUE
michelin_58,tripadvisor_69933,TRUE
michelin_60,tripadvisor_22478,TRUE
michelin_62,tripadvisor_69934,TRUE
michelin_63,tripadvisor_22479,TRUE
michelin_82,tripadvisor_69935,TRUE
michelin_111,tripadvisor_22480,TRUE
michelin_150,tripadvisor_69936,TRUE
michelin_152,tripadvisor_22481,TRUE
michelin_155,tripadvisor_69937,TRUE
michelin_222,tripadvisor_22482,TRUE
michelin_223,tripadvisor_69938,TRUE
michelin_225,tripadvisor_22483,TRUE
michelin_229,tripadvisor_69939,TRUE
michelin_4184,tripadvisor_22484,TRUE
michelin_284,tripadvisor_69940,TRUE
michelin_296,tripadvisor_22485,TRUE
michelin_327,tripadvisor_69941,TRUE
michelin_348,tripadvisor_22486,TRUE
michelin_349,tripadvisor_69942,TRUE
michelin_351,tripadvisor_22487,TRUE
michelin_353,tripadvisor_69943,TRUE
michelin_355,tripadvisor_22488,TRUE
michelin_356,tripadvisor_69944,TRUE
michelin_357,tripadvisor_22489,TRUE
michelin_362,tripadvisor_69945,TRUE
michelin_363,tripadvisor_22490,TRUE
michelin_396,tripadvisor_69946,TRUE
michelin_415,tripadvisor_22491,TRUE
michelin_417,tripadvisor_69947,TRUE
michelin_425,tripadvisor_22492,TRUE
michelin_426,tripadvisor_69948,TRUE
michelin_427,tripadvisor_22493,TRUE
michelin_509,tripadvisor_69949,TRUE
michelin_514,tripadvisor_22494,TRUE
michelin_517,tripadvisor_69950,TRUE
michelin_1038,tripadvisor_22495,TRUE
michelin_1039,tripadvisor_69951,TRUE
michelin_672,tripadvisor_22496,TRUE
michelin_673,tripadvisor_69952,TRUE
michelin_674,tripadvisor_22497,TRUE
michelin_679,tripadvisor_69953,TRUE
michelin_681,tripadvisor_22498,TRUE
michelin_690,tripadvisor_69954,TRUE
michelin_710,tripadvisor_22499,TRUE
michelin_713,tripadvisor_69955,TRUE
michelin_1060,tripadvisor_22500,TRUE
